Game Name,TA,GS,TAD,Num,Time,Score
Warhammer: Vermintide 2,24041,2250,21791,100,109.0,19991.743119266055
Warhammer: End Times - Vermintide,14060,1440,12620,61,164.0,4694.024390243902
Warhammer: Chaosbane,2874,1000,1874,43,40.0,2014.55
Warhammer Quest 2: The End Times,2453,1000,1453,54,48.0,1634.625
Warhammer Quest,2517,1000,1517,56,184.0,461.69565217391306
Warhammer Age of Sigmar: Storm Ground,4341,1000,3341,42,40.0,3508.05
"Warhammer 40,000: Space Wolf",3082,1000,2082,33,80.0,858.825
"Warhammer 40,000: Shootas, Blood & Teef",2802,1000,1802,43,16.0,4842.875
"Warhammer 40,000: Mechanicus",2926,1000,1926,34,50.0,1309.68
"Warhammer 40,000: Inquisitor - Martyr",4149,1490,2659,66,104.0,1687.4423076923076
"Warhammer 40,000: Chaos Gate - Daemonhunters",5353,1000,4353,48,120.0,1741.2
"Warhammer 40,000: Boltgun",2579,1300,1279,15,8.5,2257.0588235294117
"Warhammer 40,000: Battlesector",3275,1000,2275,30,20.0,3412.5
Wargroove 2,6186,1000,5186,23,25.0,4771.12
Wargroove,9737,1000,8737,23,60.0,3349.1833333333334
Warframe,14952,3725,11227,109,294.5,4155.324278438031
Warface: Clutch,7544,1000,6544,37,60.0,4035.4666666666667
Warface: Breakout,3164,1000,2164,38,20.0,4111.6
Warborn,3432,1000,2432,26,44.0,1437.090909090909
WarDogs: Red's Return,1306,1000,306,35,2.0,5355.0
War Thunder,2757,1000,1757,13,3270.0,6.985015290519877
War Theatre,1698,1000,698,19,15.0,884.1333333333333
War Tech Fighters,2747,1000,1747,45,15.0,5241.0
War Robots: Frontiers,3514,1000,2514,33,148.0,560.5540540540541
War Mongrels,3313,1000,2313,59,69.0,1977.7826086956522
Wanted: Dead,4756,1000,3756,55,41.0,5038.536585365854
Wandersong,1063,1000,63,20,1.0,1260.0
Wand Wars,2501,1000,1501,28,10.0,4202.8
Wally and the FANTASTIC PREDATORS,2933,1000,1933,34,27.0,2434.1481481481483
Walk The Light,3444,1000,2444,10,13.0,1880.0
"Walden, a game",2444,1000,1444,27,15.0,2599.2
Wailing Heights,1251,1000,251,12,3.0,1004.0
WWE 2K25 (Xbox One),2660,1000,1660,60,56.0,1778.5714285714287
WWE 2K24,2688,1000,1688,62,80.0,1308.2
WWE 2K23 (Xbox One),2839,1000,1839,63,143.0,810.1888111888112
WWE 2K22 (Xbox One),2833,1000,1833,54,120.0,824.85
WWE 2K20,3120,1000,2120,51,40.0,2703.0
WWE 2K19,2932,1000,1932,46,40.0,2221.8
WWE 2K18,3259,1000,2259,51,120.0,960.075
WWE 2K17,4036,1000,3036,58,150.0,1173.92
WWE 2K16,4864,1000,3864,55,150.0,1416.8
WWE 2K15,2531,1000,1531,41,60.0,1046.1833333333334
WWE 2K Battlegrounds,2275,1000,1275,13,6.0,2762.5
WW2: Bunker Simulator,2869,1000,1869,19,8.0,4438.875
WRC Generations,2228,1000,1228,44,60.0,900.5333333333333
WRC 9,2050,1000,1050,43,25.0,1806.0
WRC 8,4364,1000,3364,43,40.0,3616.3
WRC 7,2431,1000,1431,41,100.0,586.71
WRC 6,6376,1000,5376,41,100.0,2204.16
WRC 5,2409,1000,1409,37,20.0,2606.65
WRC 10,2703,1000,1703,46,15.0,5222.533333333334
WORLD OF FINAL FANTASY MAXIMA,3314,1000,2314,58,60.0,2236.866666666667
WINGSPAN,2514,1000,1514,31,20.0,2346.7
WE ARE DOOMED,2635,1000,1635,12,12.0,1635.0
WARTILE,2047,1000,1047,20,6.0,3490.0
WARSAW,4533,1000,3533,34,53.0,2266.4528301886794
W.A.R.P.,1036,1000,36,13,0.5,936.0
Völgarr the Viking II,2953,1000,1953,20,15.0,2604.0
Völgarr the Viking,4776,1000,3776,20,15.0,5034.666666666667
Vzerthos: The Heir of Thunder,6080,5000,1080,50,2.5,21600.0
Voyage,1144,1000,144,13,1.0,1872.0
Vostok Inc,1360,1000,360,45,15.0,1080.0
Vostok 2061,2538,1000,1538,22,6.0,5639.333333333333
Vosaria: Lair of the Forgotten,2803,1000,1803,25,6.0,7512.5
Voodoo Vince: Remastered,1853,1000,853,41,12.0,2914.4166666666665
Volley Pals,1006,1000,6,10,0.5,120.0
Void Vikings,2813,1000,1813,23,66.0,631.8030303030303
Void Prison,2273,1000,1273,21,10.0,2673.3
Void Gore,4518,4000,518,33,1.0,17094.0
Void Bastards,7340,1000,6340,24,50.0,3043.2
VoiceStudio,85,50,35,8,1.0,280.0
Voice Commander,9890,1000,8890,25,59.0,3766.9491525423728
Vlad Circus: Descend into Madness,1398,1000,398,12,8.0,597.0
Vision Soft Reset,3056,1000,2056,12,21.0,1174.857142857143
Visage,3746,1000,2746,27,10.0,7414.2
Virtuous Western,1021,1000,21,13,0.5,546.0
Virtual Villagers Origins 2,2922,1000,1922,10,200.0,96.1
Virtual Families Cook Off: Chapter 1 Let's Go Flippin',1959,1000,959,20,94.0,204.04255319148936
Virtual Families 3: Our Country Home,2615,1000,1615,22,257.0,138.24902723735408
VirtuaVerse,1403,1000,403,33,6.0,2216.5
Virgo Versus The Zodiac,3760,1000,2760,36,119.0,834.9579831932773
Virginia,1235,1000,235,17,3.0,1331.6666666666667
Violett Remastered,1661,1000,661,21,5.0,2776.2
Violet Wisteria,3329,2000,1329,17,11.0,2053.909090909091
Vinebound: Tangled Together,1742,1000,742,32,18.0,1319.111111111111
Vikings – Wolves of Midgard,6917,1000,5917,38,60.0,3747.4333333333334
Viking Heroes V Collector's Edition,1404,1000,404,42,16.0,1060.5
Vigour,1045,1000,45,10,0.5,900.0
Vigor,4147,1000,3147,30,150.0,629.4
Victor Vran,5254,1000,4254,50,60.0,3545.0
Vesta,1699,1000,699,21,8.0,1834.875
Vertical Drop Heroes HD,1869,1000,869,12,8.0,1303.5
Vernal Edge,2076,1000,1076,16,45.0,382.5777777777778
Verlet Swing,6830,1000,5830,25,80.0,1821.875
Verdun,9160,1000,8160,56,197.0,2319.5939086294416
Verdict Guilty,1237,1000,237,12,2.0,1422.0
Vera Blanc: Ghost In The Castle,1010,1000,10,13,0.5,260.0
Vera Blanc: Full Moon,1015,1000,15,11,0.5,330.0
Venus: Improbable Dream,1003,1000,3,12,0.5,72.0
Venture Towns,1514,1000,514,10,10.0,514.0
Venice 2089,2236,1000,1236,15,15.0,1236.0
Vengeful Heart,1000,1000,0,11,0.5,0.0
Vengeance Hunters,1982,1000,982,25,8.0,3068.75
Venba,1212,1000,212,15,1.0,3180.0
Venatrix,1178,1000,178,20,3.0,1186.6666666666667
Velocity Noodle,2708,1000,1708,14,6.0,3985.3333333333335
Velocity G,2113,1000,1113,18,18.0,1113.0
Velocity 2X,3528,1000,2528,50,30.0,4213.333333333333
Vegas Tales,1110,1000,110,10,1.0,1100.0
Vegas Party,1490,1000,490,20,2.0,4900.0
Vasilisa and Baba Yaga,1469,1000,469,15,6.0,1172.5
Vasilis,1076,1000,76,20,1.0,1520.0
Varney Lake,1657,1000,657,30,7.0,2815.714285714286
Varenje,1148,1000,148,26,3.0,1282.6666666666667
Vaporum,3802,1000,2802,38,108.0,985.8888888888889
Vanquish,3205,1000,2205,50,15.0,7350.0
Vanity Fair: The Pursuit,1416,1000,416,32,7.0,1901.7142857142858
Vanaris Tactics (JP),1220,1000,220,18,13.0,304.61538461538464
Vanaris Tactics,1243,1000,243,18,10.0,437.4
Vampyr,2941,1000,1941,28,40.0,1358.7
Vampire: The Masquerade – Coteries of New York,1533,1000,533,28,1.0,14924.0
Vampire: The Masquerade - Swansong,2797,1000,1797,37,30.0,2216.3
Vampire: The Masquerade - Shadows of New York,1045,1000,45,14,0.5,1260.0
Vampire's Fall: Origins,2242,1000,1242,28,60.0,579.6
Vampire Survivors,2671,1450,1221,188,48.0,4782.25
Vampire Hunters,3708,1000,2708,48,85.0,1529.2235294117647
Vambrace: Cold Soul,3643,1000,2643,33,15.0,5814.6
Valthirian Arc: Hero School Story 2,3579,1000,2579,48,43.0,2878.8837209302324
Valley,2025,1000,1025,30,8.0,3843.75
Valkyria Revolution,3913,1000,2913,28,40.0,2039.1
Valkyria Chronicles 4,3477,1000,2477,36,50.0,1783.44
Valiant Hearts: The Great War,1694,1000,694,20,8.0,1735.0
Valiant Hearts: Coming Home,1189,1000,189,24,3.0,1512.0
ValiDate: Struggling Singles in your Area,1035,1000,35,68,0.5,4760.0
Valfaris: Mecha Therion,3382,1000,2382,44,23.0,4556.869565217391
Valfaris,4223,1000,3223,34,15.0,7305.466666666666
Valentino Rossi: The Game,2351,1000,1351,35,40.0,1182.125
